,Genres
Indie,42682
Action,25168
Casual,24713
Adventure,22936
Simulation,11668
Strategy,11458
RPG,10301
Early Access,6575
Free to Play,4751
Sports,2750
Racing,2190
Massively Multiplayer,1577
Utilities,681
Violent,509
Design & Illustration,404
Education,331
Animation & Modeling,323
Gore,305
Video Production,229
Audio Production,175
Software Training,172
Game Development,162
Nudity,117
Sexual Content,106
Photo Editing,103
Web Publishing,94
Accounting,21
Movie,2
Documentary,1
Episodic,1
Short,1
Tutorial,1
360 Video,1
